









Frequency of observations in the selected location(s).:
Number of taxa: 	547

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	5479.0	3406.0	3549.0	3707.0	2738.0	3359.0	4765.0	2992.0	2483.0	2305.0	2586.0	3737.0	2674.0	2997.0	2974.0	4149.0	3527.0	3697.0	3122.0	3608.0	2506.0	2560.0	2164.0	2228.0	1627.0	1641.0	1583.0	2439.0	1669.0	1842.0	1732.0	2781.0	2209.0	2218.0	2303.0	2691.0	2145.0	2414.0	2265.0	2965.0	2477.0	2566.0	2491.0	3303.0	2200.0	2571.0	3031.0	4482.0	

Emu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.774E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051249	0.0013858	0.0051875	0.0066406	0.0134011	0.0031418	6.146E-4	0.0	0.004422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	
Snow Goose	0.0156963	0.0170288	0.0067625	0.0072835	0.0065741	0.0026794	0.0037775	0.0043449	0.0044301	0.0078091	0.0042537	0.0021408	0.0011219	0.0026693	0.00269	0.0016872	0.0015	2.705E-4	0.0	0.0	3.99E-4	0.0023437	0.0032348	0.0058348	0.0067609	0.0085314	0.0037903	0.00369	0.0	5.429E-4	0.0	7.192E-4	9.054E-4	0.0	4.342E-4	0.0022297	0.0051282	0.006628	0.004415	0.0074199	0.0044409	0.0066251	0.0056202	0.0069634	0.0159091	0.042396	0.0155064	0.0162874	
Ross's Goose	0.0015	0.0032296	0.0	2.698E-4	3.652E-4	0.0	4.197E-4	0.0	4.027E-4	0.0017354	7.734E-4	0.0026759	3.74E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.897E-4	4.014E-4	0.0	0.0	0.0295605	3.299E-4	2.231E-4	
Snow x Ross's Goose (hybrid)	0.0	2.936E-4	0.0	2.698E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.545E-4	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	
Graylag Goose	3.65E-4	0.0	0.0	0.0	3.652E-4	0.0	2.099E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.362E-4	0.0	0.0	2.705E-4	0.0015	2.772E-4	3.99E-4	3.906E-4	0.0	0.0	0.0	0.0	6.317E-4	0.0	0.0	0.0	0.0	0.0	4.527E-4	0.0	0.0015	0.0	0.0	0.0	4.415E-4	0.0	4.037E-4	0.0	0.0	0.0	4.545E-4	0.0	3.299E-4	2.231E-4	
