









Frequency of observations in the selected location(s).:
Number of taxa: 	569

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Brant	0.2373034	0.2141671	0.2395515	0.1812394	0.2238806	0.1926554	0.211446	0.2668067	0.2545455	0.2554134	0.2432314	0.2403525	0.2202406	0.2642527	0.2401547	0.2262895	0.2089838	0.2685504	0.2863924	0.2153589	0.1153846	0.0774846	0.0315399	0.0264216	0.0204802	0.0308104	0.0373281	0.0349033	0.0253096	0.0223404	0.0293843	0.0286201	0.0177936	0.0106545	0.0118681	0.0265957	0.0533148	0.1617177	0.2119461	0.2990084	0.2789216	0.2837765	0.3044164	0.2640278	0.2205479	0.2170188	0.2562061	0.2477144	
Cackling Goose	0.0076404	0.0088545	0.0010194	0.0016978	0.0	0.0015	0.0	0.0	0.0	0.0	4.367E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011398	0.0	0.0018273	0.0033719	0.0	0.0	0.0075963	0.0073607	0.0065246	0.0082192	0.0045688	0.0014052	0.0047889	
Canada Goose	0.4274157	0.4100719	0.4271152	0.3815789	0.3951979	0.4022599	0.3726518	0.4632353	0.4388889	0.4143701	0.3803493	0.3615922	0.3654085	0.3694145	0.347398	0.3374931	0.291427	0.2931312	0.3346519	0.3578186	0.3605128	0.3615946	0.3753865	0.3291212	0.365113	0.4139317	0.4636542	0.4957948	0.548196	0.5255319	0.520056	0.4678024	0.4550712	0.4008118	0.4083516	0.4031155	0.3852573	0.4111466	0.3945087	0.3951182	0.4245098	0.4275638	0.4616193	0.4280122	0.4356164	0.4648772	0.4651054	0.4253374	
Graylag x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.252E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid)	0.0013483	0.002767	0.0010194	8.489E-4	6.489E-4	0.0050847	0.0013106	0.0015756	0.0020202	0.0044291	0.0052402	0.004254	0.0066363	0.0053929	0.0059775	0.0047144	0.0046563	0.002527	0.0029008	0.0013912	0.0020513	0.0022459	0.0012369	0.0011488	0.0021186	0.0013396	0.0	0.0	0.0015	0.0037234	0.0018657	0.0010221	0.0	5.074E-4	0.0030769	0.0018997	0.0037089	0.0018273	9.634E-4	0.0034325	0.0034314	5.426E-4	0.0015773	0.0021749	0.0027397	0.0028555	0.0014052	0.0026121	
Cackling/Canada Goose	0.0017978	0.0011068	0.0010194	8.489E-4	6.489E-4	0.0016949	0.0017475	0.0010504	0.0010101	0.0	0.00131	9.116E-4	0.0	3.852E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.636E-4	0.0	9.634E-4	0.0015256	0.0019608	0.0032556	0.002103	0.0030448	0.0027397	0.0022844	0.0015	0.0021768	
Mute Swan	0.1622472	0.1721085	0.1753313	0.1536503	0.1615834	0.1649718	0.17737	0.2142857	0.2116162	0.2125984	0.2026201	0.2075357	0.224803	0.2361325	0.2162447	0.2229617	0.1983018	0.2166322	0.2513186	0.2584864	0.2738462	0.2970241	0.3172542	0.2831706	0.3474576	0.367716	0.3935822	0.4091674	0.4512655	0.456383	0.4510261	0.4034072	0.3781139	0.3145611	0.2742857	0.2526596	0.2141864	0.243947	0.2143545	0.2109077	0.2323529	0.200217	0.221346	0.1918225	0.1794521	0.184466	0.1770492	0.1610797	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013098	0.0	0.0	5.319E-4	9.328E-4	3.407E-4	0.0013345	0.0	0.0015	3.799E-4	4.636E-4	0.0	4.817E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan	0.0	0.0	0.0071356	0.0097623	6.489E-4	0.0	8.737E-4	0.0078782	5.051E-4	0.0	4.367E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061022	0.0044118	5.426E-4	0.002103	0.0052197	0.0013699	0.0015	0.0	0.0	
Whooper Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.549E-4	0.0015	5.385E-4	0.0010638	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	4.817E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
swan sp.	4.494E-4	0.0	0.0	0.0021222	0.0012979	0.0	0.0013106	0.0015756	5.051E-4	4.921E-4	0.0	3.039E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.782E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.799E-4	0.0	0.0	0.0	7.628E-4	0.0	0.0	5.258E-4	0.0013049	0.0	5.711E-4	0.0018735	8.707E-4	
goose sp.	4.494E-4	5.534E-4	0.0010194	0.0012733	0.0032446	0.0028249	8.737E-4	0.0010504	0.0015152	0.0014764	0.0026201	0.0012154	8.295E-4	0.001926	0.0014065	0.0011093	0.0013695	6.892E-4	5.274E-4	0.0013912	5.128E-4	0.001123	0.0	0.0	7.062E-4	0.0	6.549E-4	0.0	0.0	0.0	0.0060634	0.0091993	0.0048932	0.0	4.396E-4	3.799E-4	0.0	0.0022841	4.817E-4	0.0015256	0.0034314	0.002713	0.0026288	0.0013049	0.0020548	0.0017133	0.0014052	0.0017414	
Egyptian Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.184E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.799E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.319E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck	8.989E-4	0.0016602	0.0020387	0.0	6.489E-4	5.65E-4	8.737E-4	0.0	5.051E-4	4.921E-4	0.0	0.0015	0.0	0.0011556	0.0	0.0	0.0	2.297E-4	0.0	2.782E-4	0.0	5.615E-4	0.0	5.744E-4	0.0	0.0	0.0	0.0012616	0.0016155	0.0010638	4.664E-4	0.0013629	4.448E-4	5.074E-4	0.0	0.0018997	0.0018544	0.0	4.817E-4	0.0019069	9.804E-4	0.0021704	0.002103	0.0017399	0.0041096	0.0045688	0.0032787	0.0013061	
Wood Duck	0.0130337	0.0149419	0.0173293	0.0224958	0.0253082	0.0344633	0.0297073	0.0420168	0.0429293	0.0541339	0.049345	0.0395017	0.0501866	0.0477658	0.0495781	0.0460344	0.050671	0.0342293	0.0440401	0.0367279	0.04	0.031443	0.0364873	0.0459506	0.0487288	0.0408573	0.0510806	0.0618167	0.0463113	0.0478723	0.0447761	0.0408859	0.0467082	0.0618975	0.0545055	0.0664894	0.0741771	0.0625857	0.0650289	0.057971	0.0735294	0.0683668	0.0578339	0.0382775	0.0308219	0.0285551	0.034192	0.0239443	
Mandarin Duck	0.0	0.0	0.0	4.244E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.426E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	8.989E-4	0.0	5.097E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0014764	0.0017467	0.0112428	0.0099544	0.0165639	0.0232068	0.0194121	0.0180772	0.0121755	0.0137131	0.0097385	0.005641	0.0078608	0.0092764	0.0080414	0.0120056	0.0187542	0.0170269	0.0185029	0.0269251	0.037234	0.1012127	0.1376491	0.180605	0.1354642	0.1120879	0.0900456	0.0639777	0.0584742	0.0409441	0.0217391	0.0186275	0.0113945	0.0015773	0.0039147	0.0027397	0.0011422	9.368E-4	8.707E-4	
Northern Shoveler	0.1559551	0.1283896	0.1207951	0.1311545	0.1271901	0.1327684	0.1437309	0.1932773	0.1843434	0.1820866	0.1628821	0.144333	0.1476566	0.1456086	0.0945851	0.0712701	0.039989	0.0275672	0.0224156	0.0228158	0.0302564	0.017406	0.0191713	0.0109133	0.0120056	0.0100469	0.0085134	0.0079899	0.0123856	0.037234	0.0904851	0.1342419	0.2037367	0.1725013	0.1512088	0.149696	0.132128	0.160804	0.1445087	0.1521739	0.2093137	0.1795985	0.2039958	0.1735537	0.1506849	0.1410623	0.1053864	0.1319112	
Gadwall	0.1725843	0.1543996	0.1712538	0.1557725	0.1524984	0.1451977	0.129751	0.1617647	0.159596	0.1427165	0.1279476	0.1118201	0.0970552	0.1047766	0.0938819	0.083472	0.0857299	0.122674	0.1500527	0.1769616	0.1866667	0.2083099	0.2077922	0.1579552	0.1758475	0.1748158	0.1466929	0.1383516	0.1507808	0.1441489	0.1511194	0.1492334	0.1654804	0.1572806	0.123956	0.1394377	0.1010663	0.1534947	0.1368015	0.1578947	0.195098	0.2023874	0.2192429	0.2053067	0.1986301	0.1753284	0.1625293	0.1697867	
Eurasian Wigeon	0.0089888	0.002767	0.0045872	0.0021222	0.0019468	0.0022599	0.0039318	0.0042017	0.0060606	9.843E-4	0.0	0.0015	0.0	0.0	0.0010549	8.319E-4	2.739E-4	4.595E-4	0.0013186	8.347E-4	0.0015385	0.001123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040036	0.0060883	0.0131868	0.0102584	0.0088085	0.005482	0.004817	0.0133486	0.0284314	0.0238741	0.019979	0.014789	0.0082192	0.0017133	0.006089	0.0034828	
