









Frequency of observations in the selected location(s).:
Number of taxa: 	588

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4245.0	3279.0	3587.0	4083.0	2761.0	3151.0	4002.0	3217.0	3472.0	3721.0	3887.0	5743.0	4693.0	5069.0	5836.0	8015.0	7531.0	7436.0	6188.0	5333.0	2504.0	1875.0	1644.0	1940.0	1512.0	1596.0	1700.0	2471.0	1967.0	2067.0	2381.0	4189.0	3480.0	3829.0	4185.0	4599.0	4003.0	4042.0	4087.0	5172.0	3573.0	3026.0	3132.0	3587.0	2694.0	2551.0	2858.0	3621.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.464E-4	0.0031877	0.0	0.0	0.0012165	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.994E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0212014	0.0128088	0.0189573	0.0191036	0.0144875	0.0133291	0.0144928	0.0198943	0.0187212	0.013706	0.018266	0.0073133	0.0046878	0.0102584	0.0080535	0.0103556	0.0055769	8.069E-4	0.0038785	0.0037502	3.994E-4	0.0	6.083E-4	0.0	0.0	0.0018797	0.0	0.0015	0.0	0.0	4.2E-4	0.0	0.0	0.0	0.0	0.0013046	0.0037472	0.0029688	0.0024468	9.667E-4	0.0025189	0.0023133	0.00447	0.007806	0.0126206	0.0172481	0.026592	0.0218172	
Ross's Goose	0.0	3.05E-4	2.788E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.933E-4	0.0015	0.0	6.386E-4	0.0019515	0.0014848	0.0015	0.0	0.0	
Snow/Ross's Goose	0.0	3.05E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0	0.0	0.0	0.0	0.0	0.0	2.499E-4	0.0	0.0	0.0	0.0	1.741E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.838E-4	0.0015	0.0	0.0	7.835E-4	0.0	4.349E-4	0.0	0.0	4.894E-4	3.867E-4	2.799E-4	3.305E-4	3.193E-4	2.788E-4	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020161	0.0145122	0.0020581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057471	0.0	3.712E-4	0.0223442	0.0	0.0024855	
Domestic goose sp. (Domestic type)	2.356E-4	0.0	2.788E-4	0.0	3.622E-4	3.174E-4	0.0	6.217E-4	2.88E-4	0.0	5.145E-4	0.0015	2.131E-4	0.0	0.0	2.495E-4	5.311E-4	2.69E-4	1.616E-4	7.5E-4	0.0	5.333E-4	6.083E-4	0.0	6.614E-4	0.0	0.0	4.047E-4	0.0	4.838E-4	4.2E-4	2.387E-4	2.874E-4	2.612E-4	2.389E-4	6.523E-4	2.498E-4	2.474E-4	2.447E-4	7.734E-4	5.598E-4	3.305E-4	0.0	2.788E-4	7.424E-4	0.0	0.0	2.762E-4	
Brant	0.2928151	0.3302836	0.3836075	0.3656625	0.3477001	0.3192637	0.2941029	0.3316755	0.3029954	0.2762698	0.2850527	0.2650183	0.2235244	0.2022095	0.1732351	0.1436057	0.1334484	0.1538462	0.147382	0.1501969	0.1010383	0.0554667	0.0492701	0.0221649	0.0291005	0.0250627	0.0194118	0.0113314	0.0111845	0.0130624	0.0134397	0.0133683	0.0051724	0.006268	0.00454	0.0104371	0.0304771	0.0833746	0.1081478	0.2059165	0.2180241	0.2904825	0.2774585	0.3058266	0.2687454	0.2924343	0.3226032	0.3214582	
Snow Goose x Brant (hybrid)	0.0014134	0.0018298	0.0036242	0.0014695	0.0025353	0.0028562	0.0012494	0.0031085	0.0017281	2.687E-4	0.0012863	0.0019154	6.392E-4	5.918E-4	1.714E-4	1.248E-4	2.656E-4	4.034E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.933E-4	8.396E-4	0.0013219	0.0015964	0.0033454	0.0014848	0.001568	0.0048985	0.0022093	
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046404	0.0	0.0	0.0	0.0	7.424E-4	0.0	0.0	0.0	
Cackling Goose	2.356E-4	0.0	2.788E-4	4.898E-4	7.244E-4	3.174E-4	0.0	0.0	8.641E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.174E-4	0.0	0.0	0.0029361	0.0	5.598E-4	3.305E-4	0.006705	0.0044606	0.0014848	0.001176	0.0013996	2.762E-4	
Canada Goose	0.5043581	0.505032	0.4909395	0.5047759	0.5266208	0.4922247	0.5002499	0.5598384	0.6033986	0.5627519	0.5662465	0.5349121	0.5465587	0.5190373	0.520562	0.5247661	0.4357987	0.4084185	0.3766968	0.383649	0.3817891	0.2938667	0.263382	0.2427835	0.2612434	0.2468672	0.26	0.3201133	0.3482461	0.3773585	0.4111718	0.4137026	0.4341954	0.4408462	0.4573477	0.4316156	0.4281789	0.4359228	0.4343039	0.4112529	0.4139379	0.4315929	0.4565773	0.4800669	0.4940609	0.5248922	0.5069979	0.5026236	
Swan x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.223E-4	0.0	2.174E-4	0.0	0.0	4.894E-4	1.933E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.333E-4	0.0	0.0	6.614E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.874E-4	0.0	2.389E-4	4.349E-4	0.0	0.0	0.0	9.667E-4	0.0	0.0	0.0015	5.576E-4	3.712E-4	0.0	0.0	0.0	
Snow x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.714E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling/Canada Goose	0.0018846	0.0021348	8.364E-4	9.797E-4	7.244E-4	0.0019042	4.998E-4	0.0015542	0.0020161	0.001075	7.718E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.498E-4	2.474E-4	0.0012234	5.8E-4	8.396E-4	9.914E-4	0.0035121	0.0019515	0.0029696	0.004312	0.0031491	0.0027617	
Branta sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.155E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan	0.2513545	0.2488564	0.2456091	0.2275288	0.2426657	0.2351634	0.2223888	0.2446379	0.2540323	0.2531578	0.2793928	0.274421	0.3198381	0.3026238	0.283756	0.2849657	0.2283893	0.2208176	0.2024887	0.2295143	0.2164537	0.1824	0.149635	0.1654639	0.1600529	0.1290727	0.1311765	0.1351679	0.1464159	0.165941	0.1877362	0.1735498	0.212069	0.2034474	0.2109916	0.2020004	0.194604	0.1848095	0.1964766	0.1757541	0.2043101	0.2005948	0.1896552	0.1859493	0.2097253	0.2226578	0.1983905	0.2123723	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.447E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan	0.0	0.0	0.0	0.0015	0.0032597	0.0	0.0	0.0018651	0.0	2.687E-4	0.0	3.483E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.447E-4	1.933E-4	0.0	0.0	0.0	2.788E-4	0.0	0.0	0.0	0.0	
Whooper Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
swan sp.	4.711E-4	6.099E-4	0.0	4.898E-4	3.622E-4	0.0	0.0014993	9.325E-4	8.641E-4	5.375E-4	0.0012863	1.741E-4	2.131E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.498E-4	0.0	2.447E-4	0.0	0.0	3.305E-4	6.386E-4	0.0013939	0.0011136	0.0	0.0	5.523E-4	
goose sp.	0.0011779	6.099E-4	2.788E-4	4.898E-4	0.0014488	9.521E-4	9.995E-4	6.217E-4	0.0011521	0.0026874	7.718E-4	6.965E-4	0.0012785	0.0011837	3.427E-4	1.248E-4	5.311E-4	4.034E-4	6.464E-4	3.75E-4	0.0015974	0.0010667	0.0	0.0	6.614E-4	0.0	0.0	0.0	5.084E-4	0.0	4.2E-4	9.549E-4	5.747E-4	2.612E-4	9.558E-4	6.523E-4	2.498E-4	0.0	0.0014681	0.0034803	0.0019591	0.0013219	0.0015964	0.0019515	0.0014848	0.001568	0.0017495	8.285E-4	
Muscovy Duck	7.067E-4	3.05E-4	8.364E-4	2.449E-4	0.0	0.0	0.0	3.108E-4	8.641E-4	0.001075	0.0012863	0.0	2.131E-4	0.0	0.0	0.0	3.984E-4	2.69E-4	1.616E-4	1.875E-4	3.994E-4	5.333E-4	0.0	0.0	0.0	0.0012531	5.882E-4	0.0032376	0.0	0.0014514	0.0	2.387E-4	2.874E-4	0.0	4.779E-4	2.174E-4	2.498E-4	2.474E-4	0.0	0.0	2.799E-4	0.0	0.0015	8.364E-4	0.0	0.0	3.499E-4	5.523E-4	
Wood Duck	0.0367491	0.0518451	0.0381935	0.0460446	0.0470844	0.060933	0.0682159	0.1081753	0.1595622	0.1679656	0.1818883	0.2141738	0.3047091	0.2882225	0.3055175	0.3140362	0.2477759	0.2201452	0.1850356	0.1415713	0.1122204	0.1109333	0.0845499	0.0969072	0.0906085	0.0745614	0.0829412	0.0930797	0.1021861	0.121432	0.1558169	0.1618525	0.2005747	0.191695	0.1887694	0.1752555	0.1738696	0.1603167	0.1602643	0.1430781	0.1424573	0.1176471	0.0855683	0.0777809	0.0631032	0.0650725	0.0524843	0.0422535	
