









Frequency of observations in the selected location(s).:
Number of taxa: 	540

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4981.0	3676.0	3531.0	4944.0	3399.0	3550.0	3872.0	3482.0	3483.0	4177.0	4514.0	6671.0	6093.0	7395.0	7588.0	12289.0	12728.0	12931.0	10270.0	7676.0	3553.0	2617.0	2320.0	2606.0	1943.0	1918.0	1912.0	2980.0	2330.0	2572.0	2925.0	4972.0	4263.0	5568.0	6217.0	7676.0	6510.0	6249.0	5813.0	7245.0	4623.0	4068.0	3841.0	4800.0	3320.0	3171.0	3438.0	4405.0	

Snow Goose	0.0214816	0.023395	0.0665534	0.0368123	0.0120624	0.0146479	0.0245351	0.0361861	0.0137812	0.0040699	0.0028799	0.0059961	1.641E-4	1.352E-4	1.318E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	7.68E-4	0.0028805	0.0030965	0.0031746	0.0019468	0.0012291	0.0013017	0.0027083	0.0027108	0.0072532	0.0052356	0.0070375	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011635	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6E-4	0.0	0.0	0.0	0.0	0.0	0.0015	3.012E-4	0.0	0.0	0.0	
Graylag Goose	0.0	0.0	0.0	8.091E-4	2.942E-4	5.634E-4	0.0025826	0.0037335	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.394E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.346E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Swan Goose (hybrid)	0.0	0.0	0.0	0.0	2.942E-4	0.0	5.165E-4	5.744E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0074282	2.72E-4	0.027471	0.0050566	0.0038247	5.634E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.603E-4	0.0	0.0	0.0	0.0017452	0.0108967	
Domestic goose sp. (Domestic type)	2.008E-4	2.72E-4	0.0	2.023E-4	0.0	0.0	5.165E-4	2.872E-4	0.0	0.0015	0.0	4.497E-4	0.0	1.352E-4	0.0	2.441E-4	2.357E-4	3.867E-4	1.947E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.037E-4	3.592E-4	3.217E-4	0.0	1.536E-4	4.801E-4	0.0	0.0	0.0	4.916E-4	0.0	0.0	6.024E-4	0.0	0.0	0.0	
Brant	0.0698655	0.0797062	0.0801473	0.0709951	0.073551	0.0659155	0.0885847	0.0950603	0.0829744	0.0660761	0.0750997	0.0691051	0.0461185	0.0469236	0.0430944	0.0349093	0.0337052	0.0326348	0.0334956	0.0166754	0.008725	0.0053496	0.0012931	0.0019186	0.0	0.0	5.23E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.796E-4	0.0	1.303E-4	0.0024578	0.0166427	0.0316532	0.0414079	0.0655419	0.0435103	0.0627441	0.0545833	0.0385542	0.0526648	0.059046	0.077185	
Barnacle Goose	0.0	0.0	0.0	0.006877	0.0020594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017207	0.0	0.0	0.0015	0.0	0.0	0.0	
Cackling Goose	2.008E-4	0.0	0.0	0.0	5.884E-4	2.817E-4	0.0	0.0	0.0	0.0	2.215E-4	2.998E-4	1.641E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72E-4	8.282E-4	4.326E-4	0.0046706	0.0020828	0.00125	6.024E-4	0.0015	0.0	0.0	
Brant x Cackling Goose (hybrid)	0.0	0.0	0.0	2.023E-4	2.942E-4	0.0	0.0	0.0	0.0	0.0	4.431E-4	1.499E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.4362578	0.4268226	0.4721042	0.4514563	0.4504266	0.4433803	0.451188	0.44888	0.4487511	0.4577448	0.4536996	0.466197	0.4661086	0.4650439	0.4694254	0.4747335	0.4511314	0.4314438	0.4261928	0.4287389	0.4005066	0.3354987	0.3060345	0.3035303	0.2928461	0.2872784	0.3132845	0.3177852	0.3223176	0.3230949	0.317265	0.2962591	0.3011963	0.277658	0.2917806	0.2953361	0.2872504	0.3370139	0.3218648	0.3166322	0.3162449	0.3370206	0.3176256	0.3416667	0.3560241	0.3598234	0.3813264	0.4190692	
Graylag x Canada Goose (hybrid)	2.008E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.888E-4	3.419E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
