









Frequency of observations in the selected location(s).:
Number of taxa: 	666

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Snow x Canada Goose (hybrid)	9.78E-5	1.282E-4	3.806E-4	5.51E-4	8.432E-4	1.307E-4	0.0	3.449E-4	7.326E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.637E-4	0.0	4.02E-4	0.0	0.0	4.158E-4	0.0	1.605E-4	3.781E-4	
Cackling/Canada Goose	8.8E-4	0.001666	0.0010148	0.0015429	0.0013491	0.0010456	9.434E-4	0.0013795	3.663E-4	5.624E-4	3.564E-4	3.55E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.784E-4	3.279E-4	7.386E-4	3.956E-4	5.715E-4	8.04E-4	8.793E-4	8.365E-4	0.0027027	4.396E-4	0.0011238	5.672E-4	
Branta sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Mute Swan	0.2197125	0.2235038	0.202461	0.2135773	0.2055649	0.1533133	0.1389365	0.2238317	0.214652	0.2229096	0.2086972	0.2029346	0.2159126	0.2360747	0.2180694	0.2123449	0.1786702	0.1651889	0.1607254	0.1371104	0.1421725	0.1538462	0.130971	0.1317915	0.1365535	0.118256	0.1069117	0.1284512	0.1244878	0.1353398	0.1346565	0.1415291	0.1380046	0.1439873	0.141939	0.1384146	0.1403853	0.1445902	0.157127	0.140182	0.1619356	0.1720603	0.1883931	0.1964311	0.2070686	0.2024176	0.19345	0.2005861	
Black Swan	0.0	0.0	1.269E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.405E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.816E-4	0.0	4.176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-necked Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0034223	6.408E-4	0.0016491	0.0029755	0.0020236	0.0023526	0.0012864	6.898E-4	3.663E-4	1.875E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.198E-4	0.0036924	0.0019851	
Tundra Swan	0.0053779	0.004101	0.0073576	0.0027551	0.0033727	0.001307	0.0046312	0.0068977	0.0029304	0.0026247	7.129E-4	1.183E-4	3.078E-4	0.0	0.0	0.0	1.106E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.905E-4	0.0020101	0.0021983	0.0044612	0.0035343	0.0037363	0.0014449	0.0022686	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.724E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.079E-4	2.198E-4	0.0	0.0	
Whooper Swan	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
swan sp.	1.956E-4	3.845E-4	1.269E-4	4.408E-4	1.686E-4	2.614E-4	0.0012007	3.449E-4	3.663E-4	1.875E-4	1.782E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.088E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.319E-4	0.0	0.0	0.0	2.788E-4	2.079E-4	0.0015	1.605E-4	1.891E-4	
goose sp.	4.889E-4	7.689E-4	1.269E-4	4.408E-4	5.059E-4	1.307E-4	6.861E-4	0.0	9.158E-4	3.75E-4	1.782E-4	2.367E-4	0.0	1.458E-4	2.81E-4	3.209E-4	1.106E-4	0.0015	0.0	9.96E-5	0.0015	0.0	1.958E-4	0.0	1.816E-4	3.982E-4	2.088E-4	0.0015	0.0	0.0	1.946E-4	1.223E-4	0.0015	0.0	1.836E-4	0.0015	0.0	1.639E-4	1.846E-4	2.637E-4	1.905E-4	4.02E-4	2.198E-4	2.788E-4	0.0010395	4.396E-4	4.816E-4	1.891E-4	
Egyptian Goose	0.0	0.0	2.537E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	1.584E-4	7.263E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.198E-4	0.0	0.0	
South African Shelduck	0.0015	0.0	0.0	1.102E-4	0.0015	0.0015	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.96E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	
Muscovy Duck	0.0020534	0.002435	0.0015223	0.0012123	0.0026981	0.0010456	4.288E-4	8.622E-4	0.0012821	7.499E-4	0.0010693	4.733E-4	4.617E-4	4.374E-4	1.405E-4	0.0011767	1.106E-4	0.0	2.484E-4	3.983E-4	3.195E-4	7.172E-4	1.958E-4	3.168E-4	0.0016343	0.0	0.0015	2.953E-4	1.951E-4	3.986E-4	0.0	1.223E-4	1.523E-4	1.758E-4	1.836E-4	4.573E-4	3.568E-4	1.639E-4	0.0018464	0.0015825	0.0015241	0.001206	0.0017586	0.0012547	0.0016632	0.0010989	9.632E-4	0.0010398	
Wood Duck	0.0118314	0.0133282	0.0119244	0.0083756	0.0089376	0.0065351	0.009777	0.0208657	0.0278388	0.0388076	0.0374265	0.0456751	0.0575562	0.0686789	0.0637909	0.0697475	0.0623963	0.0574203	0.0396224	0.0232998	0.0220447	0.0281513	0.0209475	0.0313639	0.0241511	0.0254828	0.0194195	0.027019	0.0341463	0.0382699	0.0352209	0.0474618	0.0523991	0.0604782	0.0611458	0.0564024	0.0569033	0.0557377	0.0526219	0.0489252	0.0424843	0.0377889	0.0268191	0.0195176	0.0153846	0.0158242	0.0117194	0.0082238	
Mandarin Duck	0.0015	0.0	2.537E-4	3.306E-4	0.0	0.0	0.0	1.724E-4	0.0	1.875E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00237	0.004158	2.198E-4	0.0	1.891E-4	
Blue-winged Teal	0.0067468	0.0047418	0.0024102	0.0034164	0.0037099	0.0011763	3.431E-4	0.0018969	0.002381	0.0028121	0.0014258	0.0039049	0.0123115	0.0137066	0.0188282	0.0145486	0.0025445	0.0015833	0.0016147	5.974E-4	9.585E-4	7.172E-4	0.0	9.504E-4	3.632E-4	0.0	4.176E-4	7.382E-4	5.854E-4	3.986E-4	0.0015567	0.0044037	0.0102056	0.0058017	0.0062431	0.0067073	0.0073136	0.0060656	0.0048006	0.0044837	0.00743	0.0038191	0.0021983	4.182E-4	8.316E-4	8.791E-4	1.605E-4	1.891E-4	
Northern Shoveler	0.0408722	0.0447264	0.0327287	0.0357064	0.0269815	0.0143772	0.011235	0.0236248	0.0173993	0.0273716	0.0222777	0.0162111	0.0190828	0.0151648	0.0116622	0.0013907	9.957E-4	4.222E-4	4.968E-4	1.991E-4	0.0015	0.0	0.0	1.584E-4	0.0	0.0	2.088E-4	0.0015	0.0	0.0	0.0	3.67E-4	0.0016756	8.79E-4	5.509E-4	0.0015244	0.0044595	0.007541	0.0083087	0.0102862	0.01486	0.0233166	0.0189053	0.0294159	0.0295218	0.0305495	0.0269706	0.0201342	
Blue-winged Teal x Northern Shoveler (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.832E-4	1.875E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gadwall	0.1285812	0.1353326	0.1085881	0.1163765	0.0905565	0.0603843	0.0463979	0.0805311	0.0815018	0.0928009	0.0753876	0.0764407	0.0771006	0.0736366	0.0658986	0.046641	0.0255559	0.0217437	0.0191281	0.0155332	0.0191693	0.0172136	0.0138998	0.0137811	0.0058108	0.0057734	0.0054291	0.0036911	0.0037073	0.0027905	0.0027243	0.0044037	0.0074638	0.0063291	0.0077121	0.0131098	0.0208705	0.0308197	0.0363737	0.0419359	0.0603925	0.0771859	0.0839745	0.0946605	0.0956341	0.0967033	0.0818751	0.0756215	
Eurasian Wigeon	0.0108536	0.0125593	0.0111633	0.0074939	0.0052277	0.0024833	0.0019726	0.0029315	0.003663	0.0044994	0.0042773	9.466E-4	0.0015	0.0015	0.0	1.07E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.351E-4	0.0016393	0.0024003	0.0055387	0.0057154	0.0164824	0.0123104	0.0107347	0.0058212	0.0074725	0.0043346	0.0021741	
American Wigeon	0.087709	0.0776624	0.0681213	0.0613842	0.0580101	0.0402562	0.0287307	0.0541473	0.0521978	0.0463067	0.0272679	0.0169211	0.0135426	0.0110819	0.0051988	0.004065	0.0023233	0.0022166	9.937E-4	5.974E-4	0.0014377	0.0	0.0	0.0	3.632E-4	1.991E-4	2.088E-4	5.906E-4	1.951E-4	0.0	0.0	2.446E-4	9.139E-4	0.0035162	0.0055086	0.007622	0.0212273	0.0340984	0.034712	0.0379797	0.0552486	0.0697487	0.07694	0.0784888	0.0654886	0.0595604	0.0480013	0.0515172	
Gadwall x American Wigeon (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.724E-4	1.832E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian x American Wigeon (hybrid)	9.78E-5	0.0	0.0	1.102E-4	0.0	1.307E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.784E-4	0.0	0.0	3.956E-4	1.905E-4	0.0	4.397E-4	1.394E-4	0.0	2.198E-4	0.0	0.0	
Eurasian/American Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.782E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard	0.3038037	0.3216712	0.2918939	0.2817941	0.2752108	0.1989282	0.1784734	0.2800483	0.2891941	0.3063367	0.290679	0.2974796	0.3070175	0.3279382	0.3183926	0.3160034	0.2706052	0.2505805	0.2461806	0.2110923	0.2207668	0.2153488	0.1801096	0.1596705	0.1421827	0.1202469	0.1100439	0.116049	0.1166829	0.1291609	0.1198677	0.1289297	0.1271896	0.1529536	0.1491003	0.1603659	0.1691045	0.17	0.1909158	0.2136358	0.2495713	0.2617085	0.2848978	0.2930434	0.2923077	0.2945055	0.2774121	0.2595708	
Muscovy Duck x Mallard (hybrid)	9.78E-5	0.0	0.0	1.102E-4	0.0	0.0	0.0	1.724E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.405E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.991E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.846E-4	1.319E-4	1.905E-4	0.0	0.0	1.394E-4	0.0	0.0	0.0	9.45E-5	
Gadwall x Mallard (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.875E-4	0.0	0.0	0.0	1.458E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Wigeon x Mallard (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.832E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Black Duck	0.2086633	0.2188902	0.2200939	0.2153405	0.2197302	0.1550124	0.1247856	0.216934	0.2071429	0.211661	0.2040634	0.1671991	0.1494306	0.1294838	0.0994801	0.0724219	0.0415975	0.0315601	0.0319215	0.0274818	0.0255591	0.0191859	0.0160532	0.0131475	0.0138006	0.0111487	0.0190019	0.0194891	0.0199024	0.0189356	0.0249076	0.026422	0.0246763	0.0342827	0.0409475	0.0478659	0.061898	0.0847541	0.101551	0.1235659	0.1647933	0.1768844	0.1996043	0.1950369	0.2068607	0.2215385	0.2318189	0.2100388	
Mallard x American Black Duck (hybrid)	0.0059646	0.0073049	0.0071039	0.0074939	0.0057336	0.0064044	0.0053173	0.0055182	0.0086081	0.0080615	0.0071289	0.0044965	0.0024623	0.0034996	0.0019671	0.0016046	9.957E-4	6.333E-4	4.968E-4	8.961E-4	4.792E-4	8.965E-4	0.0011746	4.752E-4	1.816E-4	1.991E-4	0.0010441	0.0013288	7.805E-4	7.973E-4	0.0013621	9.786E-4	4.57E-4	0.0010549	0.0011017	6.098E-4	0.0010703	6.557E-4	9.232E-4	0.0019781	0.0030482	0.0024121	0.0046164	0.0051582	0.0054054	0.0081319	0.0075454	0.0060497	
Mallard/American Black Duck	7.822E-4	0.0010252	7.611E-4	7.714E-4	6.745E-4	7.842E-4	0.001801	5.173E-4	0.0018315	0.0022497	0.0010693	0.0013016	0.001385	0.0013123	1.405E-4	6.418E-4	0.0	2.111E-4	0.0	9.96E-5	3.195E-4	0.0	0.0	0.0	3.632E-4	3.982E-4	0.0010441	0.0014765	0.0013659	3.986E-4	9.73E-4	7.339E-4	9.139E-4	5.274E-4	0.0018362	0.0012195	8.919E-4	1.639E-4	7.386E-4	0.0011869	7.62E-4	0.001407	0.001319	0.0013941	0.0014553	0.0013187	0.0011238	0.0015124	
