









Frequency of observations in the selected location(s).:
Number of taxa: 	666

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	10227.0	7803.0	7883.0	9074.0	5930.0	7651.0	11660.0	5799.0	5460.0	5334.0	5611.0	8451.0	6498.0	6858.0	7117.0	9348.0	9039.0	9474.0	8051.0	10043.0	6260.0	5577.0	5108.0	6313.0	5507.0	5023.0	4789.0	6773.0	5125.0	5017.0	5139.0	8175.0	6565.0	5688.0	5446.0	6560.0	5606.0	6100.0	5416.0	7583.0	5249.0	4975.0	4549.0	7173.0	4810.0	4550.0	6229.0	10579.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0041241	3.915E-4	0.0118802	0.0029054	0.002389	6.264E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.637E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0176982	0.0256312	0.019282	0.0185144	0.0146712	0.0111097	0.0066895	0.013623	0.0111722	0.0080615	0.009624	0.0067448	0.0035396	0.0018956	0.0012646	9.628E-4	0.0011063	5.278E-4	8.695E-4	3.983E-4	4.792E-4	1.793E-4	5.873E-4	3.168E-4	0.0015	7.963E-4	2.088E-4	5.906E-4	0.0011707	0.0015	1.946E-4	0.0015	6.093E-4	1.758E-4	3.672E-4	4.573E-4	0.0016054	0.005082	0.0053545	0.0047475	0.0053343	0.0086432	0.0081337	0.0135229	0.0162162	0.0191209	0.0147696	0.0109651	
Ross's Goose	0.0025423	0.005767	0.0043131	0.0024245	0.0064081	0.0014377	3.431E-4	6.898E-4	0.003663	0.0018748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01E-4	0.0015	8.365E-4	0.0095634	0.0046154	0.0072243	0.0067114	
Snow x Ross's Goose (hybrid)	0.0	0.0015	1.269E-4	1.102E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0021512	0.0035884	0.0050742	0.0022041	0.0033727	0.0018298	8.576E-4	0.0017244	0.002381	0.0024372	0.0012475	7.1E-4	0.001385	0.0010207	0.0015456	0.0011767	0.0015488	2.111E-4	7.452E-4	0.0011949	0.0011182	5.379E-4	7.831E-4	3.168E-4	0.0018159	0.0019908	0.0010441	0.0017717	0.001561	9.966E-4	0.0019459	0.0018349	0.0033511	0.0033404	0.0025707	9.146E-4	0.0019622	0.0032787	0.0035081	0.0038243	0.0038102	0.0024121	0.0024181	5.576E-4	0.0035343	0.0010989	0.0016054	0.0015124	
Swan Goose	9.78E-5	1.282E-4	6.343E-4	0.0	5.059E-4	3.921E-4	6.003E-4	1.724E-4	1.832E-4	0.0	5.347E-4	3.55E-4	4.617E-4	1.458E-4	1.405E-4	1.07E-4	1.106E-4	0.0	1.242E-4	9.96E-5	0.0	1.793E-4	1.958E-4	3.168E-4	3.632E-4	3.982E-4	0.0	0.0015	1.951E-4	1.993E-4	0.0015	2.446E-4	0.0	7.032E-4	1.836E-4	0.0	3.568E-4	0.0	0.0015	0.0	0.0	2.01E-4	4.397E-4	0.0	0.0	2.198E-4	1.605E-4	9.45E-5	
Greater White-fronted Goose	0.0093869	0.0185826	0.010529	0.0117919	0.0084317	0.003529	0.0064322	0.0063804	0.0064103	0.0037495	7.129E-4	5.916E-4	0.0	0.0	0.0015	0.0	1.106E-4	1.056E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.836E-4	1.524E-4	0.0	6.557E-4	3.693E-4	6.594E-4	0.0011431	0.0078392	0.0065949	0.0119894	0.006237	0.0061538	0.0064216	0.0049154	
Lesser White-fronted Goose	0.0	0.0	1.269E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose	0.0082136	0.0108932	0.0041862	0.0076041	0.0067454	0.0050974	0.0016295	0.0060355	0.0056777	0.0013123	7.129E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060662	0.0015	8.04E-4	0.0010991	0.0041824	0.0072765	6.593E-4	6.422E-4	0.0026468	
Domestic goose sp. (Domestic type)	1.956E-4	0.0011534	0.0016491	7.714E-4	0.001855	7.842E-4	5.146E-4	8.622E-4	3.663E-4	5.624E-4	7.129E-4	3.55E-4	1.539E-4	2.916E-4	2.81E-4	5.349E-4	3.319E-4	2.111E-4	2.484E-4	1.991E-4	1.597E-4	1.793E-4	0.0015	1.584E-4	0.0	7.963E-4	0.0	0.0015	7.805E-4	3.986E-4	0.0	1.223E-4	3.046E-4	1.758E-4	0.0015	1.524E-4	1.784E-4	4.918E-4	5.539E-4	3.956E-4	3.81E-4	2.01E-4	4.397E-4	5.576E-4	8.316E-4	0.0013187	3.211E-4	1.891E-4	
Brant	0.0713797	0.0727925	0.0643156	0.074719	0.0794266	0.0616913	0.0519726	0.0872564	0.0862637	0.0813648	0.0896453	0.0920601	0.0824869	0.079615	0.0831811	0.0746684	0.0630601	0.0458096	0.0301826	0.0079657	0.0028754	0.002331	7.831E-4	7.92E-4	0.0034502	7.963E-4	0.0012529	0.0013288	0.0011707	0.0013953	0.0	1.223E-4	7.616E-4	3.516E-4	5.509E-4	0.0012195	0.0053514	0.0132787	0.0332349	0.0555189	0.076586	0.078392	0.0661684	0.06873	0.0632017	0.0676923	0.063092	0.071935	
Barnacle Goose	0.0050846	0.0171729	0.0074845	0.0057307	0.0028668	0.0016991	0.001801	0.0013795	0.0016484	0.0020622	1.782E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.351E-4	1.639E-4	0.0015	1.319E-4	9.526E-4	0.001809	0.0021983	0.0069706	0.0054054	0.0048352	0.0049767	0.003592	
Cackling Goose	0.008018	0.0142253	0.0077382	0.0082654	0.0080944	0.0043132	0.0016295	0.0050009	0.0056777	0.0024372	8.911E-4	1.183E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.974E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.557E-4	3.693E-4	0.0054068	0.0011431	0.0062312	0.0032974	0.0097588	0.0128898	0.0081319	0.008027	0.0046318	
Barnacle x Cackling Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Canada Goose	0.3622763	0.4002307	0.362806	0.37635	0.3659359	0.2922494	0.2436535	0.3867908	0.3948718	0.3862017	0.3860274	0.3784168	0.3750385	0.4021581	0.4074751	0.3894951	0.3550171	0.3299557	0.307291	0.2544061	0.2199681	0.1800251	0.1527016	0.1427214	0.1525331	0.1668326	0.1923157	0.2134948	0.1851707	0.1967311	0.1975092	0.2078287	0.219802	0.2457806	0.2350349	0.2452744	0.2543703	0.2719672	0.2788035	0.3048925	0.2992951	0.3139698	0.312816	0.3273386	0.3480249	0.3617582	0.3663509	0.344456	
Swan x Canada Goose (hybrid)	9.78E-5	1.282E-4	0.0	1.102E-4	1.686E-4	2.614E-4	0.0	1.724E-4	0.0	1.875E-4	1.782E-4	1.183E-4	1.539E-4	0.0	0.0	2.139E-4	1.106E-4	2.111E-4	0.0	9.96E-5	4.792E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.446E-4	3.046E-4	0.0	0.0	0.0	1.784E-4	3.279E-4	3.693E-4	0.0	3.81E-4	0.0	0.0015	1.394E-4	2.079E-4	2.198E-4	0.0	0.0	
Greater White-fronted x Canada Goose (hybrid)	1.956E-4	0.0	0.0	2.204E-4	0.0015177	1.307E-4	8.58E-5	5.173E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.158E-4	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	3.911E-4	0.0010252	8.88E-4	4.408E-4	5.059E-4	0.0010456	1.715E-4	5.173E-4	7.326E-4	5.624E-4	1.782E-4	2.367E-4	1.539E-4	4.374E-4	0.0	3.209E-4	3.319E-4	3.167E-4	2.484E-4	1.991E-4	0.0	0.0	1.958E-4	1.584E-4	0.0	0.0	0.0	0.0	1.951E-4	5.98E-4	3.892E-4	0.0	3.046E-4	0.0	0.0012853	0.0	7.135E-4	1.639E-4	1.846E-4	6.594E-4	9.526E-4	0.0020101	0.0010991	0.0011153	0.0018711	8.791E-4	0.0011238	2.836E-4	
Domestic goose sp. x Canada Goose (hybrid)	0.0	0.0	0.0	1.102E-4	1.686E-4	2.614E-4	0.0	0.0	1.832E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.056E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.476E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.394E-4	0.0	2.198E-4	1.605E-4	0.0	
